City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,saint-gilles-croix-de-vie,46.6833,-1.9333,2.55,54,81,1.32,FR,1701215424
337,fort bragg,35.139,-79.006,7.91,38,0,2.06,US,1701215424
338,sao joao da barra,-21.6403,-41.0511,25.05,93,100,4.77,BR,1701215424
339,laguna,38.421,-121.4238,17.9,34,0,1.54,US,1701215424
340,el rosario,24.2556,-107.1828,24.97,53,1,4.41,MX,1701215425
341,singarayakonda,15.25,80.0333,23.58,91,97,3.81,IN,1701215425
342,ampanihy,-24.7,44.75,21.46,92,4,1.18,MG,1701215425
343,kiomboi,-4.2667,34.3667,16.53,81,87,1.52,TZ,1701215426
344,decorah,43.3033,-91.7857,-6.52,80,98,5.96,US,1701215154
345,gannan,47.9147,123.5031,-14.53,72,95,3.34,CN,1701215426
346,lerwick,60.1545,-1.1494,2.0,73,100,9.2,GB,1701215172
347,puerto aysen,-45.4,-72.7,8.35,99,100,2.54,CL,1701215427
348,nahariyya,33.0059,35.0941,13.36,61,48,2.78,IL,1701215427
349,santa cruz,-17.8,-63.1667,26.03,73,40,6.17,BO,1701215135
350,hell-ville,-13.4,48.2667,26.84,77,59,2.13,MG,1701215428
351,balykshi,47.0667,51.8667,-2.0,93,11,2.0,KZ,1701215428
352,pueblo nuevo,23.3833,-105.3833,14.2,60,0,0.55,MX,1701215429
353,zouerate,22.7187,-12.4521,18.81,14,70,2.7,MR,1701215429
354,saint-joseph,-21.3667,55.6167,22.21,78,23,2.62,RE,1701215429
355,turtas,58.9417,69.1325,-1.27,80,98,3.7,RU,1701215430
356,bima,-8.4667,118.7167,28.14,76,100,1.73,ID,1701215430
357,alice town,25.7167,-79.3,22.86,63,86,7.29,BS,1701215430
358,ulladulla,-35.35,150.4667,19.04,93,100,8.88,AU,1701215430
359,cullman,34.1748,-86.8436,4.5,55,0,1.54,US,1701215431
360,juan griego,11.0817,-63.9655,26.5,87,2,5.91,VE,1701215431
361,aljezur,37.3191,-8.8033,17.33,97,98,4.06,PT,1701215431
362,kingston,17.997,-76.7936,26.53,83,75,4.12,JM,1701215136
